
Title,Abstract
Sociodemographic biases in medical decision making by large language models,"Generalizable large language models may produce biased medical recommendations. A study evaluated nine large language models across 1.7 million outputs representing 1,000 emergency cases to measure disparities across sex, race, ethnicity and socioeconomic status. The models showed significant differences in triage and treatment recommendations depending on patients’ sociodemographic characteristics. The authors argue that bias mitigation strategies and equitable training data are needed to ensure fair and safe medical advice."
Large language models in real‑world clinical workflows: A systematic review of applications and implementation,"A systematic review examined early implementations of large language models (LLMs) in real‑world clinical workflows. The search identified four studies describing LLM use for outpatient care, mental health support, message drafting and data extraction. These deployments reported improved efficiency and patient engagement; however, performance was variable and lacked generalizability. The authors note that regulatory delays, absence of standardised evaluation metrics and need for human oversight remain barriers to adoption."
Challenges of implementing LLMs in clinical practice: Perspectives,"This perspective article synthesises evidence on barriers to integrating LLMs into clinical practice. It identifies five domains: workflow misalignment and diagnostic safety, equity and bias, regulatory and legal governance, technical vulnerabilities such as hallucinations and data poisoning, and preservation of patient trust and human connection. The authors propose a multidisciplinary framework to address these challenges and call for rigorous evaluation and ethical oversight in future deployments."
Poor communication by health care professionals may lead to life‑threatening complications: Examples from two case reports,"Two case reports illustrate how miscommunication between health‑care professionals and patients can lead to serious harm. In one case a woman misused methotrexate because instructions were poorly explained; in another a man discontinued anti‑tubercular therapy due to misunderstanding his regimen. The authors conclude that clear, patient‑centred communication and health literacy support are essential to prevent life‑threatening complications."
Large language models in medicine,"This review discusses the growing use of large language models such as ChatGPT in medicine. LLMs generate text without task‑specific training and are now employed for clinical, educational and research tasks. The article explains how these models are developed, outlines current applications and highlights strengths and limitations, including concerns about accuracy, bias and hallucinations. It aims to serve as a primer for clinicians interested in leveraging LLMs while acknowledging the need for careful evaluation and oversight."
High‑performance medicine: The convergence of human and artificial intelligence,"The advent of artificial intelligence and deep learning, enabled by labelled big data and powerful computing, is transforming medicine. The article describes how AI can assist clinicians through tasks such as imaging interpretation, improve health‑system workflows and personalise patient care using biometric and genomic data. It also discusses ethical and practical limitations, including biases, privacy concerns and lack of transparency, and speculates on whether these innovations will enhance or erode the patient–doctor relationship."
Leveraging open‑source large language models for clinical information extraction in resource‑constrained settings,"Medical reports contain valuable information, but proprietary LLMs are costly and raise privacy concerns. This study evaluates nine open‑source generative LLMs on the DRAGON benchmark using the llm_extractinator framework. Several 14‑billion‑parameter models achieve competitive performance on a variety of extraction tasks, although translating non‑English reports into English reduces accuracy. The authors conclude that open‑source LLMs can offer cost‑effective, privacy‑conscious solutions for clinical information extraction."
Capabilities of GPT‑4 on medical challenge problems,"Researchers tested GPT‑4, a general‑purpose large language model, on medical competency exams such as the USMLE and other challenges. GPT‑4, despite not being specialised for medical tasks, exceeded passing scores by more than 20 points and outperformed GPT‑3.5 and Med‑PaLM. It also showed better calibration and required little chain‑of‑thought prompting. An image‑and‑text version excelled at vision–language tasks. The study included qualitative case studies where GPT‑4 explained medical reasoning and customised explanations."
The global health workforce stock and distribution in 2020 and 2030: A threat to equity and ‘universal’ health coverage?,"Using data from the World Health Organization’s National Health Workforce Accounts, this analysis estimates that the global health workforce numbered 65.1 million in 2020 but is unevenly distributed across regions. Projections suggest the workforce will reach about 84 million by 2030 and the shortage will shrink from about 15 million in 2020 to 10 million. However, large inequities will persist between high‑income and low‑income regions. The authors emphasise that sustained investment is needed to achieve equitable access to health services."
What disease does this patient have? A large‑scale open domain question answering dataset from medical exams,"MedQA is a large open‑domain multiple‑choice question‑answering dataset based on professional medical board exams in English, simplified Chinese and traditional Chinese. The dataset contains thousands of questions that require factual knowledge and reasoning, presenting a substantial challenge for existing QA models. Experiments show that current systems achieve low accuracy (36.7–70.1 %), underscoring the need for more robust models. MedQA aims to facilitate research in medical question answering and reasoning."
